Antecedent,Consequent,Support,Confidence,Lift
['Springsteen'],['Barefoot Blue Jean Night'],0.020480854853072127,0.41441441441441434,7.328935234447044
['Wet Dreamz'],['No Role Modelz'],0.021816562778272486,0.3769230769230769,4.551447477253929
['Barefoot Blue Jean Night'],['Springsteen'],0.020480854853072127,0.3622047244094488,7.328935234447044
['Congratulations'],['Bounce Back'],0.02626892252894034,0.3532934131736527,4.408316699933466
['Controlla'],['One Dance'],0.021816562778272486,0.3525179856115108,3.5664657463218616
['Too Good'],['One Dance'],0.021816562778272486,0.32885906040268453,3.3271056291190515
['Bounce Back'],['Congratulations'],0.02626892252894034,0.3277777777777778,4.408316699933467
['Mask Off'],['T-Shirt'],0.023597506678539625,0.3271604938271605,3.074487318559843
['Mask Off'],['Bounce Back'],0.02315227070347284,0.3209876543209877,4.005212620027435
['Mask Off'],['HUMBLE.'],0.02315227070347284,0.3209876543209877,3.939553396748297
['Trap Queen'],['679 (feat. Remy Boyz)'],0.020926090828138913,0.31972789115646255,4.724400286430361
['XO TOUR Llif3'],['Congratulations'],0.02226179875333927,0.3184713375796178,4.283153438346237
['679 (feat. Remy Boyz)'],['Trap Queen'],0.020926090828138913,0.30921052631578944,4.7244002864303605
['Congratulations'],['T-Shirt'],0.022707034728406055,0.30538922155688625,2.869892015132914
['Bad and Boujee (feat. Lil Uzi Vert)'],['Bounce Back'],0.02226179875333927,0.30303030303030304,3.781144781144781
['Congratulations'],['XO TOUR Llif3'],0.02226179875333927,0.2994011976047904,4.283153438346237
['XO TOUR Llif3'],['Mask Off'],0.020926090828138913,0.29936305732484075,4.150428560195015
['goosebumps'],['T-Shirt'],0.0213713268032057,0.2981366459627329,2.80173601185062
['Bad and Boujee (feat. Lil Uzi Vert)'],['Fake Love'],0.021816562778272486,0.296969696969697,3.685049388916793
['iSpy (feat. Lil Yachty)'],['Caroline'],0.021816562778272486,0.296969696969697,3.3183778079300468
['Black Beatles'],['Broccoli (feat. Lil Yachty)'],0.02404274265360641,0.2967032967032967,3.382718804038601
['goosebumps'],['Bounce Back'],0.020926090828138913,0.2919254658385093,3.642581090407177
['goosebumps'],['HUMBLE.'],0.020926090828138913,0.2919254658385093,3.5828666463021417
['Black Beatles'],['Caroline'],0.023597506678539625,0.2912087912087912,3.2540047017658953
['iSpy (feat. Lil Yachty)'],['Bounce Back'],0.0213713268032057,0.29090909090909095,3.62989898989899
['Mask Off'],['Broccoli (feat. Lil Yachty)'],0.020926090828138913,0.29012345679012347,3.307701948987905
['Mask Off'],['XO TOUR Llif3'],0.020926090828138913,0.29012345679012347,4.150428560195015
['Bounce Back'],['Caroline'],0.02315227070347284,0.2888888888888889,3.2280818131564404
['Bounce Back'],['Mask Off'],0.02315227070347284,0.2888888888888889,4.005212620027435
['iSpy (feat. Lil Yachty)'],['Broccoli (feat. Lil Yachty)'],0.020926090828138913,0.28484848484848485,3.2475619135517615
['Broccoli (feat. Lil Yachty)'],['Caroline'],0.024933214603739984,0.28426395939086296,3.1764022526959113
['HUMBLE.'],['Mask Off'],0.02315227070347284,0.2841530054644809,3.939553396748297
['Caroline'],['Broccoli (feat. Lil Yachty)'],0.024933214603739984,0.27860696517412936,3.1764022526959113
['Bounce Back'],['Bad and Boujee (feat. Lil Uzi Vert)'],0.02226179875333927,0.27777777777777773,3.7811447811447807
['Bounce Back'],['HUMBLE.'],0.02226179875333927,0.27777777777777773,3.4092289010321792
['Broccoli (feat. Lil Yachty)'],['Black Beatles'],0.02404274265360641,0.27411167512690354,3.3827188040386007
['HUMBLE.'],['Bounce Back'],0.02226179875333927,0.27322404371584696,3.4092289010321792
['Fake Love'],['Bad and Boujee (feat. Lil Uzi Vert)'],0.021816562778272486,0.2707182320441989,3.685049388916793
['Bounce Back'],['iSpy (feat. Lil Yachty)'],0.0213713268032057,0.26666666666666666,3.62989898989899
['Fake Love'],['Caroline'],0.0213713268032057,0.26519337016574585,2.9633050218520656
['Caroline'],['Black Beatles'],0.023597506678539625,0.26368159203980096,3.2540047017658953
['No Role Modelz'],['Wet Dreamz'],0.021816562778272486,0.2634408602150538,4.551447477253929
['Bounce Back'],['goosebumps'],0.020926090828138913,0.26111111111111107,3.6425810904071767
['Caroline'],['Bounce Back'],0.02315227070347284,0.25870646766169153,3.22808181315644
['HUMBLE.'],['goosebumps'],0.020926090828138913,0.2568306010928962,3.5828666463021417
['HUMBLE.'],['Caroline'],0.020926090828138913,0.2568306010928962,2.86985835848082
['Caroline'],['iSpy (feat. Lil Yachty)'],0.021816562778272486,0.24378109452736318,3.3183778079300468
['Caroline'],['Fake Love'],0.0213713268032057,0.23880597014925373,2.9633050218520656
['Broccoli (feat. Lil Yachty)'],['iSpy (feat. Lil Yachty)'],0.020926090828138913,0.23857868020304568,3.2475619135517615
['Broccoli (feat. Lil Yachty)'],['Mask Off'],0.020926090828138913,0.23857868020304568,3.307701948987905
['Caroline'],['HUMBLE.'],0.020926090828138913,0.23383084577114427,2.86985835848082
['T-Shirt'],['Mask Off'],0.023597506678539625,0.2217573221757322,3.074487318559843
['One Dance'],['Too Good'],0.021816562778272486,0.22072072072072071,3.3271056291190515
['One Dance'],['Controlla'],0.021816562778272486,0.22072072072072071,3.566465746321861
['T-Shirt'],['Congratulations'],0.022707034728406055,0.21338912133891214,2.869892015132914
['T-Shirt'],['goosebumps'],0.0213713268032057,0.200836820083682,2.8017360118506196
